Song,Artist
Praise Jah In The Moonlight,Yg Marley
My Love Mine All Mine,Mitski
The Night We Met,Lord Huron
Perfect (Exceeder),Mason/Princess Superstar
Escapism,Raye Ft 070 Shake
Someone Like You,Adele
Evergreen,Richy Mitch & The Coal Miners
(It Goes Like) Nanana,Peggy Gou
Pink + White,Frank Ocean
Do I Wanna Know,Arctic Monkeys
I Wanna Be Yours,Arctic Monkeys
Loser Baby,Haft/David/Roman/Underberg
Set Fire To The Rain,Adele
Poison,Roman/Haft/Underberg
505,Arctic Monkeys
Why'D You Only Call Me When You'Re High,Arctic Monkeys
Fluorescent Adolescent,Arctic Monkeys
Incredible Sauce,Giggs Ft Dave
The Color Violet,Tory Lanez
Never Be Like You,Flume Ft Kai
Shut Up My Moms Calling,Hotel Ugly
So Much In Love,D.O.D
Newout For Love,Andrew Underberg/Sam Haft/Vega
Hell'S Greatest Dad,Underberg/Haft/Jordan/Talai
Ceilings,Lizzy Mcalpine
Let Her Go,Passenger
Rolling In The Deep,Adele
What You Know,Two Door Cinema Club
Stayed Gone,Haft/Perez/Borle/Underberg
Coal,Dylan Gossett
Newone Call,Rich Amiri
New2 Days Into College,Aimee Carty
Creep,Radiohead
Little Things,Jorja Smith
I Bet You Look Good On The Dancefloor,Arctic Monkeys
Lovers Rock,Tv Girl
Money On The Dash,Elley Duhe & Whethan
Have You Ever Seen The Rain,Creedence Clearwater Revival
Can'T Hold Us,Macklemore/Ryan Lewis/Dalton
Mardy Bum,Arctic Monkeys
Back On 74,Jungle
R U Mine,Arctic Monkeys
Redance You Outta My Head,Cat Janice
Act Ii - Date At 8,4Batz
Apocalypse,Cigarettes After Sex
Skyfall,Adele
Reyou Didn'T Know,Underberg/Haft/Henningsen
I Am Not Who I Was,Chance Pena
Lean On,Major Lazer Ft Mo & Dj Snake
When We Were Young,Adele
